1,1
10,1
100,30
101,35
102,34
103,1
104,52
105,17
106,1
107,17
108,59
109,33
11,33
110,16
111,1
112,1
113,33
114,17
115,35
116,35
117,17
118,34
119,35
12,22
120,17
121,44
122,40
123,1
124,1
125,60,35,67
126,6,9,20
127,35,1,34
128,28,54,11
129,17,14,16
13,51,19,49
130,33,1,34
131,33,59,27
132,16,17,21
133,16,15,13
134,33,60,35
135,16,15,13
136,1,31,39
137,67,60,35
138,57,64,26
139,8,51,24
14,60,33,35
140,34,1,25
141,34,35,1
142,28,22,45
143,17,16,14
144,18,14,17
145,1,34,43
146,1,34,31
147,35,1,44
148,14,17,18
149,1,43,34
15,60,27,67
150,1,33,34
151,1,35,34
152,1,33,34
153,1,34,33
154,53,27,41
155,18,19,15
156,49,23,5
157,32,59,26
158,33,1,54
159,17,14,18
16,1,33,34
160,26,46,4
161,1,32,29
162,31,1,35
163,16,21,17
164,16,15,13
165,17,14,18
166,55,15,49
167,32,33,58
168,33,54,24
169,60,33,67
17,16,17,21
170,1,34,35
171,1,34,33
172,1,34,33
173,35,67,60
174,33,58,27
175,1,34,33
176,18,17,19
177,1,35,34
178,33,60,27
179,1,34,30
18,1,34,35
180,15,32,12
181,60,67,35
182,0,56,8
183,17,16,14
184,17,14,18
185,1,30,33
186,33,60,27
187,4,56,21
188,17,16,14
189,1,34,33
19,43,10,1
190,1,33,32
191,1,34,43
192,1,35,34
193,53,7,41
194,14,18,17
195,1,32,33
196,1,29,33
197,17,14,18
198,19,18,15
199,18,27,31
2,16,17,14
20,58,65,32
200,35,2,20
201,1,34,35
202,17,14,18
203,60,33,27
204,18,37,35
205,33,58,25
206,20,57,45
207,1,34,43
208,1,34,43
209,17,16,14
21,16,13,17
210,1,43,34
211,17,14,16
212,55,47,14
213,17,14,16
214,11,31,40
215,17,14,18
216,60,33,27
217,17,23,18
218,33,59,27
219,17,16,14
22,1,34,33
220,1,35,44
221,35,60,67
222,60,33,27
223,35,60,67
224,17,14,18
225,36,45,50
226,17,14,16
227,33,58,25
228,44,6,26
229,34,56,25
23,32,1,33
230,60,33,35
231,1,33,34
232,33,1,34
233,33,55,24
234,32,53,5
235,1,33,34
236,17,14,16
237,66,35,59
238,15,16,13
239,1,30,34
24,33,1,34
240,17,16,14
241,32,53,23
242,17,14,16
243,14,57,24
244,1,44,35
245,34,32,58
246,16,13,17
247,34,1,35
248,32,1,33
249,26,24,58
25,67,35,60
250,17,14,18
251,32,1,33
252,1,34,33
253,60,67,27
254,53,51,12
255,33,1,34
256,50,23,39
257,14,17,18
258,17,14,16
259,18,17,14
26,53,1,30
260,58,34,32
261,1,33,34
262,1,33,34
263,1,29,33
264,35,33,60
265,53,46,49
266,33,34,1
267,33,1,34
268,1,34,33
269,8,22,56
27,1,33,32
270,17,14,16
271,59,32,34
272,33,60,35
273,42,48,12
274,58,32,65
275,16,15,13
276,18,19,17
277,59,66,26
278,17,16,14
279,1,34,33
28,35,67,60
280,34,1,35
281,1,34,33
282,32,1,33
283,60,67,35
284,34,1,35
285,33,1,32
286,17,14,16
287,18,17,14
288,33,1,34
289,1,43,34
29,17,23,16
290,30,1,10
291,44,7,37
292,12,16,3
293,17,18,14
294,33,34,1
295,35,34,1
296,17,16,23
297,18,17,14
298,33,35,60
299,37,23,11
3,18,17,14
30,16,15,13
300,33,54,24
301,34,54,25
302,46,34,17
303,1,43,34
304,67,35,60
305,33,1,34
306,60,27,33
307,44,1,35
308,18,17,15
309,60,33,27
31,45,20,51
310,18,19,15
311,34,33,1
312,32,59,34
313,33,60,27
314,1,44,35
315,1,33,32
316,59,34,66
317,32,1,33
318,29,2,54
319,4,29,15
32,24,26,32
320,14,43,38
33,17,16,14
34,17,18,14
35,33,24,54
36,1,34,43
37,18,17,14
38,1,43,34
39,59,66,32
4,1,33,34
40,60,67,35
41,59,66,33
42,60,67,27
43,21,26,40
44,16,17,14
45,17,14,18
46,35,1,34
47,1,33,42
48,1,34,33
49,60,67,35
5,16,13,17
50,35,67,60
51,17,18,14
52,1,34,30
53,1,34,33
54,33,34,58
55,17,14,23
56,55,24,43
57,45,11,55
58,50,28,55
59,39,52,32
6,18,17,14
60,17,14,18
61,18,19,17
62,59,35,66
63,1,44,17
64,34,1,35
65,33,1,34
66,16,13,15
67,17,14,18
68,60,67,35
69,44,11,32
7,18,17,14
70,17,14,18
71,18,33,46
72,48,11,2
73,25,42,38
74,1,34,33
75,67,35,60
76,17,14,16
77,14,44,40
78,35,60,67
79,1,32,31
8,33,1,24
80,33,34,24
81,33,1,34
82,33,1,34
83,44,31,14
84,33,58,25
85,1,34,43
86,1,34,43
87,1,42,34
88,33,25,27
89,1,33,34
9,17,14,16
90,1,44,35
91,12,18,37
92,33,60,35
93,52,54,16
94,43,1,34
95,53,33,24
96,17,14,16
97,58,34,32
98,1,43,34
99,1,35,34
